"date";"MAU";"country"
"2022-01-01";1;"Burundi"
"2022-01-01";1;"Micronesia"
"2022-01-01";1;"Morocco"
"2022-01-01";1;"Saudi_Arabia"
"2022-01-02";1;"Burundi"
"2022-01-02";2;"El_Salvador"
"2022-01-02";1;"Micronesia"
"2022-01-02";1;"Morocco"
"2022-01-02";1;"Saudi_Arabia"
"2022-01-03";1;"Micronesia"
"2022-01-03";1;"Morocco"
"2022-01-03";1;"Oman"
"2022-01-03";1;"Saudi_Arabia"
"2022-01-03";1;"Burundi"
"2022-01-03";2;"El_Salvador"
"2022-01-03";1;"Equatorial_Guinea"
"2022-01-04";1;"Seychelles"
"2022-01-04";1;"Benin"
"2022-01-04";1;"Bulgaria"
"2022-01-04";1;"Burundi"
"2022-01-04";2;"El_Salvador"
"2022-01-04";1;"Equatorial_Guinea"
"2022-01-04";1;"Micronesia"
"2022-01-04";1;"Morocco"
"2022-01-04";1;"Oman"
"2022-01-04";1;"Saudi_Arabia"
"2022-01-05";1;"Benin"
"2022-01-05";1;"Brazil"
"2022-01-05";1;"Bulgaria"
"2022-01-05";1;"Burundi"
"2022-01-05";2;"El_Salvador"
"2022-01-05";1;"Equatorial_Guinea"
"2022-01-05";1;"Guyana"
"2022-01-05";1;"Micronesia"
"2022-01-05";1;"Morocco"
"2022-01-05";1;"Oman"
"2022-01-05";1;"Saudi_Arabia"
"2022-01-05";1;"Seychelles"
"2022-01-06";1;"Benin"
"2022-01-06";1;"Brazil"
"2022-01-06";1;"Bulgaria"
"2022-01-06";1;"Burundi"
"2022-01-06";2;"El_Salvador"
"2022-01-06";1;"Equatorial_Guinea"
"2022-01-06";1;"Guyana"
"2022-01-06";1;"Micronesia"
"2022-01-06";1;"Morocco"
"2022-01-06";1;"Oman"
"2022-01-06";1;"Saudi_Arabia"
"2022-01-06";1;"Seychelles"
"2022-01-07";1;"Benin"
"2022-01-07";1;"Seychelles"
"2022-01-07";2;"Brazil"
"2022-01-07";1;"Sierra_Leone"
"2022-01-07";1;"Bulgaria"
"2022-01-07";1;"Burundi"
"2022-01-07";2;"El_Salvador"
"2022-01-07";1;"Equatorial_Guinea"
"2022-01-07";1;"Guyana"
"2022-01-07";1;"Ivory_Coast"
"2022-01-07";1;"Lesotho"
"2022-01-07";1;"Micronesia"
"2022-01-07";1;"Morocco"
"2022-01-07";1;"Oman"
"2022-01-07";1;"Saudi_Arabia"
"2022-01-08";1;"Oman"
"2022-01-08";1;"Saudi_Arabia"
"2022-01-08";1;"Benin"
"2022-01-08";1;"Seychelles"
"2022-01-08";3;"Brazil"
"2022-01-08";1;"Sierra_Leone"
"2022-01-08";1;"Bulgaria"
"2022-01-08";1;"Burundi"
"2022-01-08";2;"El_Salvador"
"2022-01-08";1;"Equatorial_Guinea"
"2022-01-08";1;"Guyana"
"2022-01-08";1;"Ivory_Coast"
"2022-01-08";2;"Lesotho"
"2022-01-08";1;"Micronesia"
"2022-01-08";1;"Morocco"
"2022-01-09";1;"Micronesia"
"2022-01-09";1;"Morocco"
"2022-01-09";1;"Oman"
"2022-01-09";1;"Poland"
"2022-01-09";1;"Benin"
"2022-01-09";1;"Saudi_Arabia"
"2022-01-09";3;"Brazil"
"2022-01-09";1;"Seychelles"
"2022-01-09";1;"Bulgaria"
"2022-01-09";1;"Sierra_Leone"
"2022-01-09";1;"Burundi"
"2022-01-09";2;"El_Salvador"
"2022-01-09";1;"Equatorial_Guinea"
"2022-01-09";1;"Guyana"
"2022-01-09";1;"Ivory_Coast"
"2022-01-09";2;"Lesotho"
"2022-01-10";1;"Guyana"
"2022-01-10";1;"Ivory_Coast"
"2022-01-10";2;"Lesotho"
"2022-01-10";1;"Maldives"
"2022-01-10";1;"Micronesia"
"2022-01-10";1;"Morocco"
"2022-01-10";1;"Oman"
"2022-01-10";1;"Benin"
"2022-01-10";1;"Poland"
"2022-01-10";3;"Brazil"
"2022-01-10";1;"Saudi_Arabia"
"2022-01-10";1;"Bulgaria"
"2022-01-10";1;"Seychelles"
"2022-01-10";1;"Burundi"
