Date,"Stickiness %"
2022-01-01,100.00
2022-01-02,50.00
2022-01-03,37.50
2022-01-04,36.36
2022-01-05,23.08
2022-01-06,0.00
2022-01-07,23.53
2022-01-08,15.79
2022-01-09,10.00
2022-01-10,9.52
2022-01-11,12.50
2022-01-12,11.54
2022-01-13,7.14
2022-01-14,9.68
2022-01-15,9.09
2022-01-16,13.89
2022-01-17,2.70
2022-01-18,11.90
2022-01-19,14.58
2022-01-20,7.84
2022-01-21,9.26
2022-01-22,7.02
2022-01-23,3.39
2022-01-24,7.94
2022-01-25,6.15
2022-01-26,3.03
2022-01-27,7.14
2022-01-28,2.82
2022-01-29,4.05
2022-01-30,2.67
2022-01-31,7.79
2022-02-01,6.49
2022-02-02,8.64
2022-02-03,7.50
2022-02-04,6.17
2022-02-05,7.06
2022-02-06,5.81
2022-02-07,6.82
2022-02-08,9.68
2022-02-09,5.38
2022-02-10,5.21
2022-02-11,5.21
2022-02-12,4.12
2022-02-13,5.94
2022-02-14,2.94
2022-02-15,5.83
2022-02-16,8.33
2022-02-17,7.27
2022-02-18,6.48
2022-02-19,4.59
2022-02-20,2.83
2022-02-21,2.88
2022-02-22,4.67
2022-02-23,4.67
2022-02-24,5.66
2022-02-25,2.83
2022-02-26,5.61
2022-02-27,6.31
2022-02-28,3.64
2022-03-01,1.80
2022-03-02,4.46
2022-03-03,4.50
2022-03-04,2.78
2022-03-05,1.90
2022-03-06,3.81
2022-03-07,2.94
2022-03-08,2.00
2022-03-09,3.03
2022-03-10,4.12
2022-03-11,6.32
2022-03-12,5.21
2022-03-13,3.16
2022-03-14,4.26
2022-03-15,4.35
2022-03-16,3.33
2022-03-17,1.15
2022-03-18,1.23
2022-03-19,9.64
2022-03-20,4.94
2022-03-21,6.10
2022-03-22,8.33
2022-03-23,3.53
2022-03-24,6.90
2022-03-25,10.75
2022-03-26,7.61
2022-03-27,2.20
2022-03-28,1.15
2022-03-29,5.68
2022-03-30,2.35
2022-03-31,2.33
2022-04-01,2.38
2022-04-02,1.22
2022-04-03,4.88
2022-04-04,6.98
2022-04-05,12.09
2022-04-06,5.49
2022-04-07,4.35
2022-04-08,4.40
2022-04-09,3.23
2022-04-10,3.33
2022-04-11,0.00
2022-04-12,1.19
2022-04-13,2.41
2022-04-14,8.14
2022-04-15,5.75
2022-04-16,5.62
2022-04-17,7.53
2022-04-18,5.56
2022-04-19,3.37
2022-04-20,6.67
2022-04-21,0.00
2022-04-22,4.71
2022-04-23,4.82
2022-04-24,6.17
2022-04-25,3.95
2022-04-26,3.95
2022-04-27,7.50
2022-04-28,2.60
2022-04-29,2.63
2022-04-30,6.33
2022-05-01,11.90
2022-05-02,6.98
2022-05-03,2.35
2022-05-04,2.41
2022-05-05,5.13
2022-05-06,7.59
2022-05-07,1.28
2022-05-08,0.00
2022-05-09,2.70
2022-05-10,8.00
2022-05-11,2.60
2022-05-12,6.25
2022-05-13,5.95
